"ID","Name","coord","link","lon","lat","js"
116,"Bamberger Huette, Sektion Bamberg","47.308889N12.150556E","https://www.alpsonline.org/reservation/calendar?hut_id=116",10.884673,49.896252,"['Bamberger Huette, Sektion Bamberg',10.884673,49.896252],"
117,"Moedlinger Huette, Alpenverein Moedling","UTMY(Nord)5.264.055/UTMX(Ost)466.370","https://www.alpsonline.org/reservation/calendar?hut_id=117",16.2816448,48.0836402,"['Moedlinger Huette, Alpenverein Moedling',16.2816448,48.0836402],"
118,"Nebelsteinhuette, Alpenverein Waldviertel","UTMY(Nord)5.391.117/UTMX(Ost)483.718","https://www.alpsonline.org/reservation/calendar?hut_id=118",14.778675,48.672846,"['Nebelsteinhuette, Alpenverein Waldviertel',14.778675,48.672846],"
119,"Olpererhuette, Sektion Neumarkt i.d.Oberpfalz","47°02,517'/11°41,300'","https://www.alpsonline.org/reservation/calendar?hut_id=119",11.6883642,47.0420174,"['Olpererhuette, Sektion Neumarkt i.d.Oberpfalz',11.6883642,47.0420174],"
121,"Hannoverhaus, Sektion Hannover","47°2'26<U+2033>N,13°12'55<U+2033>O","https://www.alpsonline.org/reservation/calendar?hut_id=121",13.2148761,47.0406827,"['Hannoverhaus, Sektion Hannover',13.2148761,47.0406827],"
122,"Greizer Huette, Sektion Greiz Sitz Marktredwitz","11°53'08''/47°02'35''","https://www.alpsonline.org/reservation/calendar?hut_id=122",12.0899816,50.0035483,"['Greizer Huette, Sektion Greiz Sitz Marktredwitz',12.0899816,50.0035483],"
123,"Lizumerhuette, Alpenverein Hall in Tirol","UTMY(Nord)5.227.076/UTMX(Ost)700.123","https://www.alpsonline.org/reservation/calendar?hut_id=123",11.640415,47.1667162,"['Lizumerhuette, Alpenverein Hall in Tirol',11.640415,47.1667162],"
124,"Nuernberger Huette, Sektion Nuernberg","5206857/668632","https://www.alpsonline.org/reservation/calendar?hut_id=124",11.07516,49.4492687,"['Nuernberger Huette, Sektion Nuernberg',11.07516,49.4492687],"
125,"Edelweisshuette/Schneeberg, Alpenverein Edelweiß","UTMY(Nord)5.293.487/UTMX(Ost)561.047","https://www.alpsonline.org/reservation/calendar?hut_id=125",15.814893,47.791823,"['Edelweisshuette/Schneeberg, Alpenverein Edelweiß',15.814893,47.791823],"
126,"Meraner Huette, AVS Meran","N464059,800,E111654,972","https://www.alpsonline.org/reservation/calendar?hut_id=126",11.281923,46.683204,"['Meraner Huette, AVS Meran',11.281923,46.683204],"
128,"Reintalangerhuette, Sektion Muenchen","GPSN47°24'19,1'',E11°2'8,4''","https://www.alpsonline.org/reservation/calendar?hut_id=128",11.5478539,48.0996311,"['Reintalangerhuette, Sektion Muenchen',11.5478539,48.0996311],"
129,"Neue Magdeburger Huette, Sektion Geltendorf","47.288944,11.296524","https://www.alpsonline.org/reservation/calendar?hut_id=129",11.035917,48.11597,"['Neue Magdeburger Huette, Sektion Geltendorf',11.035917,48.11597],"
130,"Hochrieshuette, Sektion Rosenheim","47°44'49.77""N/12°14'56.73""E","https://www.alpsonline.org/reservation/calendar?hut_id=130",12.1131081,47.8566381,"['Hochrieshuette, Sektion Rosenheim',12.1131081,47.8566381],"
